full_name,primary_language,ai_maturity_level,scan_success,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,comment_lines_density,cognitive_complexity,software_quality_maintainability_remediation_effort
apolloconfig/apollo,Java,2,true,75588,224,3,2033,5.2,5.2,4265,14328
xuxueli/xxl-job,Java,1,true,24973,56,3,3056,9.1,17.7,11474,19670
conductor-oss/conductor,Java,4,true,280208,151,4,4781,14.6,5.1,15040,36023
alibaba/canal,Java,1,true,103343,226,16,3221,19.5,11.8,15942,29035
DrKLO/Telegram,Java,1,true,1552377,884,1080,83259,7.4,5.1,520586,818556
alibaba/druid,Java,2,true,449036,473,13,26566,17.4,2.9,60464,228601
lenve/vhr,Java,1,true,10445,9,3,160,0.6,2.9,412,792
kestra-io/kestra,Java,2,true,226622,86,1,3673,2.1,4.8,15294,35443
qiurunze123/miaosha,Java,1,true,125195,278,13,3196,19.8,4.2,6756,17817
wuyouzhuguli/SpringAll,Java,1,true,28848,46,14,954,23.6,5.4,397,4477
yuliskov/SmartTube,Java,1,true,316231,173,19,5434,7.3,15.6,38808,43887
alibaba/spring-cloud-alibaba,Java,1,true,31952,18,27,707,5.1,8.6,2327,7604
OpenAPITools/openapi-generator,Java,1,true,2039176,2136,60,77652,37.3,20.0,172134,339687
apache/incubator-seata,Java,1,true,325539,328,11,8139,12.2,9.9,23880,79512
apache/flink,Java,1,true,2165556,2113,25,32847,5.1,10.0,122847,308301
hollischuang/toBeTopJavaer,Java,1,true,58,0,0,0,0.0,9.4,,0
JakeWharton/butterknife,Java,1,true,14420,3,0,186,3.3,4.2,950,1949
crossoverJie/JCSprout,Java,1,true,4453,63,0,458,2.6,16.3,441,3575
libgdx/libgdx,Java,1,true,302953,283,1,50083,12.7,12.4,43171,245931
jenkinsci/jenkins,Java,1,true,251448,302,7,8665,2.7,14.2,23420,77750
apache/skywalking,Java,3,true,172772,127,34,3022,5.8,7.5,15724,27947
greenrobot/EventBus,Java,1,true,5811,21,0,265,6.0,5.7,562,2338
CodePhiliaX/Chat2DB,Java,1,true,94308,116,15,1954,10.0,11.4,7575,14493
bazelbuild/bazel,Java,2,true,928762,1040,5,22337,2.1,16.1,71170,205619
google/gson,Java,1,true,37868,20,0,956,1.9,14.4,2422,7959
scwang90/SmartRefreshLayout,Java,1,true,24845,38,0,853,4.5,12.5,3140,6393
redisson/redisson,Java,1,true,346349,369,1,13338,37.6,10.9,37063,72452
iBotPeaches/Apktool,Java,1,true,15338,9,2,284,3.5,4.0,2562,3580
Netflix/Hystrix,Java,1,true,50799,341,0,2649,16.4,14.0,3503,20970
dataease/dataease,Java,1,true,279939,104,16,3078,12.8,2.6,31278,28951
doocs/source-code-hunter,Java,1,true,5,0,0,2,0.0,0.0,0,20
kunal-kushwaha/DSA-Bootcamp-Java,Java,1,true,7437,14,0,1156,6.7,10.4,1345,8173
apache/rocketmq,Java,1,true,276910,671,0,7993,6.3,3.9,33590,84586
google/ExoPlayer,Java,1,true,1100833,198,6,56445,31.8,13.8,56270,297867
oracle/graal,Java,2,true,2003190,2011,3,56578,4.9,10.6,269255,481289
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,Java,1,true,1492,1,0,134,0.0,15.9,39,461
ashishps1/awesome-low-level-design,Java,1,true,41417,34,0,1688,0.3,6.2,2725,13590
alibaba/Sentinel,Java,1,true,82856,228,8,2287,10.8,10.0,7707,16701
CarGuo/GSYVideoPlayer,Java,1,true,40463,22,8,1250,13.3,10.3,4699,7305
elunez/eladmin,Java,1,true,13284,9,10,174,1.3,16.7,1094,1998
thingsboard/thingsboard,Java,1,true,788259,583,22,15318,4.1,3.3,72824,106036
brettwooldridge/HikariCP,Java,1,true,15087,7,0,491,4.3,10.8,1195,5090
apache/shardingsphere,Java,2,true,571181,147,4,4784,4.0,10.5,21687,46158
yudaocode/SpringBoot-Labs,Java,1,true,74525,49,59,2156,18.0,14.3,583,12401
Baseflow/PhotoView,Java,1,true,1894,1,0,37,0.0,7.7,190,220
dianping/cat,Java,1,true,493772,1464,10,34952,23.2,4.2,76947,240507
antlr/antlr4,Java,1,true,84441,49,0,4448,1.3,20.1,15278,30902
mybatis/mybatis-3,Java,1,true,106317,66,2,1482,4.0,8.0,4454,18186
didi/DoKit,Java,1,true,132385,160,5,3942,6.3,16.9,16441,28918
YunaiV/yudao-cloud,Java,1,true,192949,7,11,1851,4.0,18.2,8755,13007
dromara/Sa-Token,Java,1,true,57665,46,6,3188,17.4,26.1,3005,26062
ocornut/imgui,C++,1,true,231,0,0,11,0.0,10.1,14,38
protocolbuffers/protobuf,C++,1,true,296935,139,0,9948,34.4,16.3,34761,64630
linlinjava/litemall,Java,1,true,124646,63,1,3439,31.3,16.9,6531,26443
lionsoul2014/ip2region,Java,1,true,9437,22,0,474,11.1,14.0,1836,3737
WerWolv/ImHex,C++,1,true,990,0,0,40,0.0,6.4,187,266
x64dbg/x64dbg,C++,1,true,2388,31,0,41,2.4,8.9,532,469
grpc/grpc,C++,1,true,160521,37,9,3551,5.3,18.5,12235,20508
zhongyang219/TrafficMonitor,C++,1,true,2431,0,0,0,0.0,0.0,,0
